project_category,project_budget_usd,project_deadline_days,fl_experience_level,fl_hourly_rate,fl_n_projects,fl_completion_rate,fl_on_time_rate,fl_avg_rating,fl_dispute_rate,fl_repeat_client_rate,fl_available_in_days,fl_hours_per_week,fl_avg_response_hours,fl_portfolio_score,budget_match_score,deadline_feasible,category_match,exp_level_num,success,project_category_enc
writing,500,7,mid,35.92,23,0.639,0.935,3.96,0.108,0.616,0,20,8.1,4.8,-0.874,1,1,2,0,4
design,5000,90,mid,25.71,12,0.805,0.531,3.93,0.149,0.698,14,40,10.8,2.7,0.206,1,0,2,1,1
marketing,5000,60,junior,10.5,59,0.587,0.614,3.48,0.222,0.65,3,30,4.3,2.4,0.084,1,0,1,1,3
dev,500,90,mid,29.48,67,0.794,0.747,4.1,0.223,0.626,3,20,2.5,3.7,-0.358,1,1,2,1,2
dev,20000,7,mid,26.91,76,0.682,0.8,5.0,0.147,0.719,3,10,6.9,4.1,0.054,1,1,2,1,2
design,10000,30,expert,111.96,76,0.891,0.964,4.51,0.0,0.917,3,10,0.7,7.8,0.448,1,1,4,1,1
design,1000,60,mid,44.86,167,0.893,0.709,3.47,0.096,0.516,3,20,4.4,4.2,0.206,1,1,2,1,1
marketing,5000,60,junior,9.34,25,0.709,0.669,3.69,0.226,0.575,0,20,1.7,2.9,0.075,1,1,1,1,3
design,10000,7,senior,100.3,93,0.912,0.768,4.08,0.038,0.795,14,20,9.6,7.4,0.401,0,1,3,1,1
design,1000,30,senior,57.9,74,0.913,0.636,4.11,0.152,0.821,0,30,1.6,6.5,-0.316,1,0,3,1,1
marketing,1000,60,junior,17.87,1,0.602,0.676,3.69,0.223,0.478,1,20,15.9,4.4,0.715,1,1,1,1,3
marketing,10000,14,mid,32.06,78,0.768,0.729,3.59,0.116,0.752,30,20,1.8,3.7,0.128,0,1,2,1,3
writing,20000,30,expert,33.72,110,0.946,0.911,5.0,0.082,0.849,3,10,3.9,8.9,0.067,1,1,4,1,4
design,20000,60,expert,108.7,71,0.915,1.0,4.27,0.0,0.795,7,20,2.4,6.4,0.217,1,1,4,1,1
dev,2000,30,senior,52.32,41,0.922,0.723,4.28,0.082,0.761,0,10,19.8,6.5,0.954,1,1,3,1,2
marketing,2000,14,senior,65.17,2,0.861,0.909,4.45,0.101,0.829,1,40,6.7,5.9,0.697,1,1,3,1,3
writing,10000,30,mid,32.06,78,0.768,0.729,3.59,0.116,0.752,30,20,1.8,3.7,0.128,0,0,2,1,4
marketing,500,60,senior,86.85,34,0.906,0.828,5.0,0.059,0.669,0,30,0.1,7.7,-1.0,1,1,3,1,3
data,2000,30,senior,117.35,27,0.889,0.746,4.56,0.114,0.832,0,20,12.4,5.0,-0.347,1,1,3,1,0
marketing,20000,14,junior,19.45,3,0.627,0.555,3.46,0.147,0.714,0,10,4.1,1.0,0.039,1,1,1,0,3
marketing,20000,7,junior,8.0,11,0.706,0.857,3.45,0.14,0.514,0,30,0.7,2.1,0.016,1,1,1,1,3
writing,1000,60,senior,83.65,61,0.863,0.823,4.79,0.077,0.846,3,10,1.8,5.1,-1.0,1,0,3,1,4
data,2000,90,mid,29.79,35,0.753,0.804,4.16,0.151,0.681,3,40,17.5,3.8,0.596,1,1,2,1,0
dev,500,60,mid,54.51,18,0.873,0.876,3.97,0.158,0.806,0,10,0.3,5.1,-1.0,1,1,2,1,2
writing,1000,90,expert,78.05,200,1.0,0.913,4.72,0.0,0.849,0,30,0.8,8.3,-1.0,1,1,4,1,4
design,10000,30,mid,33.23,43,0.828,0.674,3.75,0.145,0.645,0,10,8.6,4.0,0.133,1,1,2,1,1
writing,2000,14,mid,23.12,42,0.803,0.594,4.09,0.149,0.518,0,10,1.5,5.2,0.462,1,1,2,1,4
data,500,30,mid,49.38,13,0.708,0.811,3.95,0.111,0.768,0,30,2.0,2.6,-1.0,1,1,2,0,0
writing,10000,14,senior,81.96,71,0.988,0.667,4.51,0.068,0.729,14,30,3.1,6.7,0.328,0,1,3,1,4
design,1000,30,mid,23.7,45,0.82,0.721,4.4,0.162,0.657,1,30,11.8,3.1,0.948,1,1,2,1,1
marketing,2000,7,junior,29.64,1,0.74,0.814,3.11,0.207,0.582,7,40,7.0,3.7,0.593,0,1,1,1,3
dev,1000,14,junior,22.31,9,0.628,0.694,3.45,0.201,0.569,0,20,9.8,1.4,0.892,1,0,1,0,2
dev,1000,14,senior,50.67,133,0.885,1.0,4.29,0.136,0.911,3,10,3.5,6.9,-0.027,1,1,3,1,2
data,500,30,mid,44.59,9,0.864,0.831,4.0,0.136,0.763,0,20,11.2,5.2,-1.0,1,1,2,1,0
writing,2000,14,junior,20.38,2,0.705,0.414,3.35,0.21,0.473,0,20,5.8,2.1,0.408,1,1,1,1,4
design,20000,30,junior,17.77,3,0.695,0.555,3.89,0.219,0.415,0,30,0.3,2.9,0.036,1,1,1,0,1
dev,5000,14,junior,16.97,26,0.717,0.464,2.89,0.171,0.658,7,40,22.3,2.9,0.136,0,1,1,1,2
design,1000,60,junior,18.43,12,0.734,0.566,2.95,0.195,0.662,3,20,2.9,2.1,0.737,1,0,1,1,1
dev,2000,14,mid,31.0,20,0.785,0.838,3.5,0.149,0.611,3,30,3.1,5.1,0.62,1,0,2,1,2
design,2000,60,senior,52.17,70,0.948,0.84,4.38,0.057,0.891,0,10,7.1,6.5,0.957,1,1,3,1,1
design,500,14,mid,42.3,1,1.0,0.719,4.61,0.165,0.625,7,40,0.9,3.3,-1.0,0,1,2,1,1
dev,2000,90,mid,48.74,3,0.71,0.49,4.03,0.203,0.517,7,10,1.3,4.1,0.975,1,1,2,0,2
writing,500,60,senior,43.18,99,0.989,0.807,3.77,0.037,0.744,30,30,4.6,4.8,-1.0,0,1,3,1,4
design,5000,30,mid,42.3,1,1.0,0.719,4.61,0.165,0.625,7,40,0.9,3.3,0.338,1,1,2,0,1
dev,10000,90,senior,45.25,10,0.739,0.894,4.01,0.094,0.855,0,20,3.6,5.0,0.181,1,1,3,1,2
design,10000,14,senior,43.41,56,0.91,0.813,4.46,0.116,0.832,1,30,4.8,7.3,0.174,1,1,3,0,1
marketing,5000,14,mid,46.36,10,0.675,0.863,4.15,0.182,0.882,3,40,5.3,4.1,0.371,1,1,2,1,3
marketing,2000,30,senior,85.63,8,0.896,0.806,4.37,0.124,0.579,14,30,2.0,6.0,0.287,1,0,3,1,3
design,5000,14,junior,8.0,21,0.768,0.577,3.63,0.144,0.694,1,10,3.4,3.4,0.064,1,1,1,1,1
dev,5000,60,expert,93.67,29,0.959,0.93,4.77,0.035,0.779,3,30,0.7,6.8,0.749,1,0,4,1,2
writing,10000,14,senior,70.21,15,0.951,0.901,4.42,0.137,0.712,1,20,5.9,5.6,0.281,1,0,3,1,4
writing,2000,7,mid,23.55,1,0.769,0.767,4.48,0.132,0.724,3,20,1.6,3.3,0.471,1,1,2,1,4
design,500,14,expert,126.84,85,0.988,0.891,4.95,0.125,0.91,0,20,3.8,9.0,-1.0,1,1,4,1,1
data,500,14,mid,38.73,11,0.762,0.821,3.58,0.195,0.653,0,20,0.2,4.1,-1.0,1,1,2,0,0
design,1000,30,senior,80.04,34,0.843,0.89,4.52,0.079,0.659,7,20,10.9,5.6,-1.0,1,1,3,1,1
design,2000,30,expert,76.54,45,0.881,0.96,4.65,0.045,0.855,0,20,0.5,7.6,0.469,1,0,4,0,1
writing,5000,30,junior,21.39,23,0.604,0.634,3.1,0.179,0.48,3,30,5.2,1.4,0.171,1,1,1,1,4
marketing,500,30,senior,93.43,63,0.952,0.759,4.37,0.158,0.755,3,30,3.8,5.0,-1.0,1,1,3,1,3
data,10000,60,senior,70.76,10,0.879,0.935,4.59,0.147,0.877,0,20,7.5,6.7,0.283,1,0,3,1,0
marketing,2000,60,junior,12.53,11,0.719,0.531,3.25,0.224,0.548,0,30,3.2,0.7,0.251,1,1,1,1,3
dev,500,7,expert,88.37,67,0.974,1.0,4.81,0.069,0.94,0,10,1.0,8.1,-1.0,1,1,4,1,2
design,2000,90,expert,104.45,60,0.945,0.793,4.57,0.054,0.923,3,40,0.4,8.2,-0.089,1,1,4,1,1
data,2000,30,junior,23.02,24,0.679,0.477,2.85,0.193,0.558,7,40,4.0,1.7,0.46,1,1,1,1,0
data,500,60,mid,17.14,33,0.763,0.813,4.79,0.155,0.703,3,40,9.6,4.0,0.629,1,1,2,1,0
design,1000,14,expert,71.04,59,0.909,0.863,4.56,0.048,0.879,0,40,7.5,8.7,-0.842,1,1,4,1,1
data,2000,30,junior,18.43,12,0.734,0.566,2.95,0.195,0.662,3,20,2.9,2.1,0.369,1,1,1,1,0
marketing,20000,30,expert,96.51,46,0.907,1.0,4.51,0.12,1.0,0,20,2.0,7.5,0.193,1,1,4,1,3
design,500,30,mid,40.94,20,0.745,0.802,3.67,0.127,0.648,3,30,7.5,3.7,-1.0,1,0,2,0,1
data,500,60,mid,17.14,33,0.763,0.813,4.79,0.155,0.703,3,40,9.6,4.0,0.629,1,1,2,0,0
writing,1000,60,mid,30.46,4,0.925,0.716,3.83,0.151,0.688,7,20,2.5,3.9,0.782,1,1,2,1,4
dev,5000,14,mid,48.74,3,0.71,0.49,4.03,0.203,0.517,7,10,1.3,4.1,0.39,0,1,2,0,2
dev,500,14,expert,103.04,54,1.0,0.799,4.44,0.01,0.871,1,20,2.6,8.7,-1.0,1,1,4,1,2
design,500,30,expert,110.14,65,0.91,0.934,4.98,0.018,0.949,0,20,11.7,7.8,-1.0,1,1,4,1,1
data,2000,14,senior,65.17,2,0.861,0.909,4.45,0.101,0.829,1,40,6.7,5.9,0.697,1,0,3,1,0
data,5000,30,mid,36.69,5,0.957,0.829,3.65,0.146,0.714,3,30,10.0,3.9,0.294,1,0,2,1,0
design,10000,90,junior,8.0,4,0.634,0.56,3.66,0.259,0.645,0,20,0.9,4.2,0.032,1,0,1,0,1
writing,5000,7,mid,17.47,36,0.632,0.742,3.9,0.143,0.779,0,30,17.0,3.1,0.14,1,1,2,0,4
data,1000,60,mid,39.46,56,0.81,0.809,4.5,0.134,0.618,3,30,0.1,2.9,0.422,1,1,2,1,0
dev,2000,90,mid,21.02,15,0.814,0.816,4.02,0.198,0.7,7,30,1.7,3.8,0.42,1,1,2,1,2
dev,5000,7,junior,10.55,23,0.693,0.558,3.13,0.229,0.642,3,10,0.5,1.7,0.084,1,1,1,1,2
writing,1000,30,mid,26.42,105,0.737,0.739,3.26,0.168,0.767,0,10,21.9,3.3,0.943,1,1,2,1,4
design,1000,30,mid,35.53,11,0.698,0.612,4.08,0.203,0.613,0,30,0.5,2.3,0.579,1,1,2,1,1
design,2000,30,mid,37.17,91,0.667,0.79,3.07,0.149,0.618,1,40,0.6,2.7,0.743,1,1,2,1,1
marketing,500,60,senior,99.75,62,0.795,0.853,4.77,0.066,0.781,0,10,1.1,7.3,-1.0,1,1,3,0,3
marketing,500,7,mid,28.42,2,0.695,0.729,3.22,0.116,0.747,0,20,2.8,4.6,-0.274,1,0,2,0,3
data,20000,14,senior,83.65,61,0.863,0.823,4.79,0.077,0.846,3,10,1.8,5.1,0.167,1,0,3,1,0
design,2000,30,expert,116.27,84,0.954,0.954,4.95,0.041,0.883,0,40,0.9,6.3,-0.325,1,1,4,1,1
design,500,30,expert,71.04,59,0.909,0.863,4.56,0.048,0.879,0,40,7.5,8.7,-1.0,1,1,4,1,1
writing,20000,30,mid,33.03,100,0.77,0.822,3.61,0.105,0.529,0,40,0.4,3.2,0.066,1,1,2,1,4
marketing,20000,30,senior,58.69,39,0.884,0.769,3.94,0.102,0.702,14,10,10.4,4.6,0.117,1,0,3,1,3
design,1000,30,junior,13.64,0,0.0,0.0,0.0,0.0,0.0,0,40,1.7,3.0,0.546,1,0,1,0,1
design,5000,30,mid,37.17,91,0.667,0.79,3.07,0.149,0.618,1,40,0.6,2.7,0.297,1,1,2,0,1
writing,5000,7,mid,38.36,38,0.84,0.584,4.26,0.19,0.642,1,20,0.1,3.4,0.307,1,1,2,0,4
design,5000,14,mid,35.75,11,0.917,0.817,3.74,0.221,0.895,30,20,3.9,4.6,0.286,0,1,2,1,1
marketing,10000,30,mid,46.87,157,0.882,0.809,4.22,0.158,0.584,0,40,0.9,4.3,0.187,1,1,2,1,3
writing,1000,14,mid,8.88,5,0.707,0.763,4.59,0.171,0.784,14,20,7.9,4.8,0.355,0,1,2,1,4
writing,5000,14,mid,8.16,40,0.791,0.639,4.02,0.131,0.391,7,10,3.4,2.8,0.065,0,1,2,1,4
dev,5000,60,junior,17.9,45,0.811,0.623,3.07,0.21,0.507,1,10,1.2,2.1,0.143,1,1,1,0,2
design,10000,60,senior,77.75,8,0.861,0.802,4.13,0.062,0.724,3,20,0.2,7.0,0.311,1,1,3,1,1
design,500,30,senior,32.11,49,0.877,0.781,5.0,0.043,1.0,1,30,1.6,6.1,-0.569,1,1,3,1,1
writing,1000,90,mid,34.56,1,0.954,0.588,3.16,0.174,0.612,1,10,8.7,3.7,0.618,1,1,2,1,4
data,2000,90,expert,99.78,57,0.979,1.0,4.53,0.047,0.763,0,30,29.3,9.2,0.004,1,0,4,0,0
dev,2000,90,junior,21.05,12,0.505,0.561,4.19,0.166,0.616,0,30,4.0,1.9,0.421,1,1,1,1,2
data,5000,14,senior,93.74,21,0.95,0.689,4.22,0.099,0.856,3,30,2.8,6.9,0.75,1,0,3,1,0
data,1000,60,mid,24.93,33,0.672,0.761,3.83,0.165,0.651,0,30,14.3,4.7,0.997,1,0,2,1,0
writing,2000,60,mid,23.12,42,0.803,0.594,4.09,0.149,0.518,0,10,1.5,5.2,0.462,1,1,2,1,4
design,1000,60,junior,19.65,21,0.685,0.721,3.13,0.231,0.579,14,40,0.5,1.3,0.786,1,0,1,1,1
writing,500,7,senior,21.89,20,0.77,0.812,4.34,0.107,0.705,0,30,0.5,5.1,0.249,1,0,3,1,4
dev,1000,14,junior,15.04,16,0.669,0.704,2.92,0.243,0.541,1,40,1.7,1.1,0.602,1,1,1,1,2
data,1000,60,expert,104.5,23,0.941,0.681,4.82,0.034,0.908,30,20,11.1,7.6,-1.0,0,1,4,1,0
writing,2000,30,mid,44.66,35,0.865,0.712,4.11,0.172,0.558,0,20,1.5,3.8,0.893,1,1,2,1,4
dev,500,90,senior,93.43,63,0.952,0.759,4.37,0.158,0.755,3,30,3.8,5.0,-1.0,1,0,3,1,2
dev,500,30,expert,64.32,104,0.979,0.926,4.11,0.03,0.945,1,40,3.1,8.9,-1.0,1,1,4,1,2
writing,1000,7,mid,24.61,7,0.76,0.761,4.38,0.182,0.622,0,40,2.5,2.7,0.984,1,1,2,1,4
writing,10000,14,mid,30.07,77,0.741,0.808,2.95,0.107,0.631,0,20,10.2,2.7,0.12,1,1,2,0,4
design,10000,60,senior,93.34,14,0.867,0.747,5.0,0.08,0.897,3,20,1.2,7.6,0.373,1,1,3,0,1
writing,10000,60,mid,39.41,24,0.813,0.711,4.03,0.209,0.677,1,10,6.4,3.5,0.158,1,1,2,0,4
design,10000,14,mid,46.19,11,0.759,0.735,3.98,0.167,0.61,0,40,0.1,2.8,0.185,1,1,2,1,1
dev,2000,30,junior,15.25,2,0.643,0.593,3.35,0.197,0.783,1,20,0.1,2.2,0.305,1,1,1,1,2
design,5000,60,mid,15.29,175,0.858,0.655,3.35,0.14,0.62,14,40,11.8,5.1,0.122,1,1,2,1,1
dev,1000,7,senior,54.02,32,1.0,0.889,4.89,0.106,0.785,3,30,4.9,6.3,-0.161,1,0,3,1,2
data,1000,60,mid,38.63,1,0.866,0.743,4.26,0.153,0.69,7,30,2.1,2.7,0.455,1,1,2,1,0
writing,5000,14,expert,79.27,22,0.823,0.965,5.0,0.051,0.678,3,30,0.1,8.5,0.634,1,0,4,1,4
marketing,5000,30,senior,93.43,63,0.952,0.759,4.37,0.158,0.755,3,30,3.8,5.0,0.747,1,1,3,1,3
data,5000,60,junior,16.76,1,0.537,0.492,3.17,0.175,0.489,14,30,12.2,0.5,0.134,1,1,1,1,0
data,500,30,mid,29.18,78,0.819,0.599,3.99,0.13,0.727,0,10,0.8,5.5,-0.334,1,1,2,1,0
data,1000,60,senior,93.74,21,0.95,0.689,4.22,0.099,0.856,3,30,2.8,6.9,-1.0,1,0,3,1,0
design,1000,60,expert,167.0,23,0.859,1.0,4.3,0.065,0.692,3,10,4.1,8.9,-1.0,1,1,4,1,1
design,5000,60,mid,36.81,36,0.783,0.743,4.61,0.176,0.557,3,30,1.0,4.9,0.294,1,1,2,0,1
data,20000,14,mid,38.57,5,0.66,0.789,3.8,0.195,0.625,0,20,9.9,3.4,0.077,1,1,2,1,0
dev,2000,14,senior,28.15,12,0.87,0.747,4.1,0.158,0.824,1,40,15.4,4.3,0.563,1,1,3,1,2
writing,500,30,mid,38.29,4,0.779,0.796,4.85,0.152,0.557,0,20,9.8,2.3,-1.0,1,1,2,1,4
design,1000,30,mid,46.36,10,0.675,0.863,4.15,0.182,0.882,3,40,5.3,4.1,0.146,1,0,2,0,1
design,10000,30,mid,44.55,14,0.925,0.792,4.03,0.177,0.618,1,10,1.7,4.5,0.178,1,0,2,1,1
design,1000,30,junior,13.38,7,0.486,0.688,3.47,0.219,0.512,7,20,7.9,2.2,0.535,1,0,1,0,1
data,500,30,mid,29.79,35,0.753,0.804,4.16,0.151,0.681,3,40,17.5,3.8,-0.383,1,1,2,1,0
marketing,2000,30,mid,31.33,16,0.879,0.741,3.68,0.099,0.765,3,30,1.7,3.3,0.627,1,1,2,1,3
data,1000,14,mid,38.73,11,0.762,0.821,3.58,0.195,0.653,0,20,0.2,4.1,0.451,1,1,2,1,0
marketing,1000,30,senior,54.02,32,1.0,0.889,4.89,0.106,0.785,3,30,4.9,6.3,-0.161,1,1,3,1,3
writing,20000,14,mid,45.99,57,0.826,0.7,4.45,0.145,0.693,3,10,2.4,2.7,0.092,1,1,2,1,4
data,20000,60,senior,73.05,2,0.832,0.838,4.47,0.146,0.788,3,30,9.3,5.6,0.146,1,1,3,0,0
marketing,5000,30,junior,19.47,8,0.733,0.529,3.75,0.205,0.818,3,30,10.0,1.3,0.156,1,1,1,1,3
writing,500,14,junior,19.74,7,0.568,0.525,3.74,0.225,0.525,1,20,7.5,3.1,0.421,1,1,1,1,4
marketing,5000,30,expert,108.22,37,0.827,0.903,4.63,0.057,1.0,0,30,0.1,8.1,0.866,1,1,4,0,3
writing,500,60,senior,55.45,157,0.98,0.938,4.27,0.107,0.809,14,40,3.6,5.9,-1.0,1,1,3,1,4
data,1000,60,mid,39.86,20,0.873,0.721,4.24,0.139,0.69,7,10,3.4,3.9,0.406,1,1,2,1,0
design,500,7,mid,21.86,13,0.858,0.727,3.77,0.19,0.896,0,10,10.8,4.7,0.251,1,1,2,1,1
data,1000,14,expert,44.21,62,0.977,0.836,4.09,0.058,0.681,7,20,7.8,9.3,0.232,0,1,4,1,0
writing,5000,30,mid,43.54,14,0.788,0.564,3.04,0.166,0.785,7,20,14.7,3.5,0.348,1,1,2,1,4
design,500,7,junior,8.23,90,0.66,0.492,3.34,0.219,0.581,7,10,13.6,1.5,0.658,0,1,1,1,1
marketing,2000,90,senior,67.8,60,0.851,0.697,4.23,0.108,0.684,1,40,0.4,5.0,0.644,1,0,3,0,3
data,5000,60,junior,11.02,30,0.562,0.479,3.36,0.189,0.7,3,10,8.7,2.0,0.088,1,0,1,1,0
design,10000,7,mid,28.79,17,0.904,0.568,3.24,0.211,0.886,1,10,4.1,3.9,0.115,1,0,2,1,1
writing,10000,14,mid,34.56,1,0.954,0.588,3.16,0.174,0.612,1,10,8.7,3.7,0.138,1,1,2,1,4
marketing,2000,14,junior,21.88,30,0.733,0.801,3.56,0.171,0.603,7,30,1.6,2.9,0.438,0,1,1,1,3
writing,500,14,senior,43.18,99,0.989,0.807,3.77,0.037,0.744,30,30,4.6,4.8,-1.0,0,1,3,1,4
design,500,30,senior,62.95,42,0.785,0.871,5.0,0.037,0.775,0,10,3.4,6.2,-1.0,1,0,3,0,1
writing,10000,7,mid,24.26,31,0.987,0.771,3.87,0.139,0.831,7,30,29.1,5.6,0.097,0,1,2,1,4
dev,1000,30,junior,16.85,59,0.747,0.525,3.13,0.174,0.551,30,10,8.4,0.0,0.674,0,1,1,0,2
data,1000,30,senior,42.1,4,0.806,0.884,4.86,0.11,0.861,3,40,5.3,6.8,0.316,1,1,3,1,0
design,2000,7,mid,25.0,57,0.726,0.789,3.74,0.136,0.769,3,30,5.5,4.7,0.5,1,1,2,1,1
marketing,20000,60,mid,30.38,109,0.826,0.688,4.32,0.154,0.605,3,40,33.1,1.8,0.061,1,1,2,1,3
marketing,5000,7,expert,69.76,55,1.0,0.767,4.27,0.06,0.748,14,40,2.6,8.9,0.558,0,1,4,1,3
design,500,60,mid,15.29,175,0.858,0.655,3.35,0.14,0.62,14,40,11.8,5.1,0.777,1,1,2,1,1
data,2000,7,expert,128.12,17,1.0,1.0,4.78,0.054,0.733,3,10,8.3,10.0,-0.562,1,1,4,1,0
dev,500,60,junior,11.02,30,0.562,0.479,3.36,0.189,0.7,3,10,8.7,2.0,0.882,1,1,1,1,2
writing,500,30,senior,53.42,69,0.716,0.728,4.44,0.147,0.843,14,20,1.2,6.3,-1.0,1,1,3,1,4
data,500,60,mid,24.0,57,0.812,0.639,3.82,0.152,0.695,0,40,0.5,4.1,0.08,1,1,2,1,0
data,1000,60,expert,128.12,17,1.0,1.0,4.78,0.054,0.733,3,10,8.3,10.0,-1.0,1,1,4,0,0
writing,1000,30,mid,39.99,38,0.796,0.576,3.34,0.137,0.59,0,10,20.2,5.9,0.4,1,1,2,1,4
writing,2000,60,senior,87.16,72,0.897,1.0,5.0,0.058,0.611,1,40,1.1,6.8,0.257,1,1,3,0,4
data,2000,90,junior,18.43,12,0.734,0.566,2.95,0.195,0.662,3,20,2.9,2.1,0.369,1,1,1,0,0
writing,2000,7,senior,62.48,8,0.896,0.884,4.06,0.133,0.733,0,20,5.1,6.7,0.75,1,1,3,1,4
dev,10000,60,expert,93.25,82,0.99,0.907,3.61,0.057,0.87,14,40,2.9,8.6,0.373,1,1,4,1,2
dev,2000,60,senior,45.82,23,0.959,1.0,4.33,0.095,0.67,1,20,0.7,6.0,0.916,1,1,3,1,2
data,10000,7,expert,121.18,138,1.0,0.905,4.68,0.062,0.85,3,10,4.5,8.2,0.485,1,1,4,0,0
dev,500,90,mid,25.4,15,0.783,0.775,4.07,0.169,0.765,7,30,6.6,4.2,-0.032,1,1,2,1,2
design,20000,30,mid,18.68,34,0.768,0.695,3.3,0.15,0.875,0,30,10.6,3.9,0.037,1,0,2,0,1
writing,1000,7,senior,42.1,4,0.806,0.884,4.86,0.11,0.861,3,40,5.3,6.8,0.316,1,0,3,1,4
design,5000,30,junior,13.46,12,0.509,0.67,3.57,0.236,0.535,0,20,10.6,2.2,0.108,1,1,1,0,1
dev,5000,60,mid,22.01,53,0.807,0.717,3.86,0.204,0.72,0,10,9.7,3.4,0.176,1,1,2,1,2
writing,2000,7,senior,51.22,66,0.877,0.845,4.41,0.106,0.621,3,30,4.9,5.3,0.976,1,1,3,1,4
writing,10000,14,junior,19.17,9,0.659,0.557,3.74,0.161,0.705,1,20,4.1,1.0,0.077,1,1,1,1,4
design,500,30,junior,17.77,3,0.695,0.555,3.89,0.219,0.415,0,30,0.3,2.9,0.578,1,1,1,1,1
design,2000,30,mid,34.12,8,0.829,0.619,3.83,0.174,0.739,14,30,12.2,2.8,0.682,1,1,2,1,1
data,500,60,mid,31.94,32,0.777,0.946,3.94,0.139,0.617,7,20,1.5,5.6,-0.555,1,1,2,0,0
data,2000,60,mid,39.86,20,0.873,0.721,4.24,0.139,0.69,7,10,3.4,3.9,0.797,1,1,2,1,0
dev,2000,7,mid,34.68,1,0.801,0.839,4.13,0.077,0.699,1,40,21.2,2.9,0.694,1,0,2,1,2
marketing,500,7,mid,37.64,56,0.873,0.692,3.53,0.121,0.416,3,20,1.6,4.9,-1.0,1,1,2,1,3
data,1000,60,senior,117.35,27,0.889,0.746,4.56,0.114,0.832,0,20,12.4,5.0,-1.0,1,1,3,1,0
design,10000,7,junior,15.74,9,0.71,0.85,3.27,0.181,0.832,3,10,10.1,0.9,0.063,1,1,1,0,1
design,1000,30,senior,59.84,59,0.917,0.965,4.61,0.097,1.0,0,30,5.1,6.9,-0.394,1,1,3,1,1
marketing,10000,14,senior,42.04,67,0.902,0.858,4.27,0.082,0.773,0,40,0.8,7.3,0.168,1,1,3,1,3
writing,5000,30,mid,49.96,1,0.751,0.811,4.35,0.158,0.646,0,30,20.9,4.0,0.4,1,1,2,1,4
dev,10000,30,expert,76.54,45,0.881,0.96,4.65,0.045,0.855,0,20,0.5,7.6,0.306,1,1,4,1,2
dev,5000,30,mid,24.87,38,0.621,0.756,4.01,0.05,0.618,7,40,2.7,3.0,0.199,1,1,2,1,2
dev,5000,60,junior,16.97,26,0.717,0.464,2.89,0.171,0.658,7,40,22.3,2.9,0.136,1,1,1,1,2
design,2000,60,mid,44.86,167,0.893,0.709,3.47,0.096,0.516,3,20,4.4,4.2,0.897,1,1,2,1,1
data,20000,90,senior,72.19,107,0.849,0.807,4.4,0.125,0.631,30,30,1.8,6.6,0.144,1,1,3,1,0
design,1000,30,mid,35.53,11,0.698,0.612,4.08,0.203,0.613,0,30,0.5,2.3,0.579,1,1,2,1,1
writing,1000,60,senior,62.48,8,0.896,0.884,4.06,0.133,0.733,0,20,5.1,6.7,-0.499,1,1,3,1,4
writing,2000,30,senior,57.9,74,0.913,0.636,4.11,0.152,0.821,0,30,1.6,6.5,0.842,1,1,3,1,4
dev,1000,30,junior,14.5,5,0.638,0.503,3.31,0.197,0.813,3,10,5.6,1.0,0.58,1,0,1,1,2
marketing,1000,30,junior,20.79,19,0.593,0.497,2.35,0.238,0.517,1,30,13.7,1.7,0.832,1,1,1,0,3
writing,5000,60,senior,76.82,27,0.853,0.874,4.08,0.115,0.714,30,30,0.1,7.6,0.615,0,1,3,1,4
writing,1000,60,mid,45.24,5,0.801,0.816,3.86,0.153,0.816,7,30,1.0,3.8,0.19,1,1,2,0,4
marketing,500,30,expert,69.5,200,0.902,0.851,4.38,0.015,0.831,0,20,2.4,8.3,-1.0,1,1,4,1,3
writing,2000,14,junior,19.74,7,0.568,0.525,3.74,0.225,0.525,1,20,7.5,3.1,0.395,1,1,1,0,4
dev,500,30,mid,30.46,4,0.925,0.716,3.83,0.151,0.688,7,20,2.5,3.9,-0.437,1,0,2,1,2
marketing,1000,60,senior,68.52,22,0.993,0.874,4.14,0.15,0.889,0,40,0.4,4.8,-0.741,1,1,3,1,3
marketing,1000,90,mid,25.41,7,0.779,0.754,3.56,0.157,0.645,0,20,13.3,3.6,0.984,1,0,2,0,3
writing,5000,30,senior,45.8,18,0.925,0.809,4.96,0.063,0.894,1,40,1.7,7.2,0.366,1,1,3,1,4
writing,1000,30,junior,19.17,9,0.659,0.557,3.74,0.161,0.705,1,20,4.1,1.0,0.767,1,1,1,0,4
data,500,30,senior,105.59,11,0.833,0.604,3.9,0.091,0.785,1,30,13.7,6.1,-1.0,1,1,3,0,0
writing,5000,60,expert,116.92,3,0.85,0.709,4.91,0.01,0.928,7,30,6.4,8.4,0.935,1,1,4,1,4
writing,2000,7,mid,36.77,27,0.613,0.902,3.79,0.159,0.675,0,10,7.7,3.6,0.735,1,1,2,1,4
data,20000,7,junior,10.76,87,0.71,0.781,3.47,0.19,0.499,0,20,2.0,1.5,0.022,1,0,1,0,0
dev,2000,30,senior,50.67,133,0.885,1.0,4.29,0.136,0.911,3,10,3.5,6.9,0.987,1,1,3,1,2
data,2000,60,junior,24.73,17,0.746,0.448,3.03,0.211,0.707,3,20,1.9,1.9,0.495,1,1,1,1,0
writing,500,14,mid,23.55,1,0.769,0.767,4.48,0.132,0.724,3,20,1.6,3.3,0.116,1,1,2,0,4
